ID,ParentID,Radial distance,Angle,Cluster size,Species,Cue,Observer,CSLow,CSHigh,OnWater,Aspect,Sightability,KWTransRes
162,9,388.8736389,38,2,PW,2,rw,2,3,w,1,2,
163,9,109.8659635,47,1,HP,1,OA,1,1,w,2,2,
164,9,440.7227854,48,2,DP,2,sh,2,3,w,2,3,
165,9,275.4517409,48,1,M,1,sh,1,1,w,4,2,
166,9,343.1237991,55,9,PW,1,rw,8,12,w,3,2,
167,9,538,72,5,HS,1,HS,5,8,l,5,2,
168,9,350,89,10,DP,2,HS,10,12,w,2,2,
169,9,44.07227854,90,1,HS,1,sh,1,1,w,3,2,
170,9,87.89277082,90,1,HS,1,OA,1,1,w,3,4,
171,10,821.0180624,0,4,PW,1,NE,2,4,w,2,3,
172,10,2.203613927,1,1,G,6,SH,,,w,,3,
173,10,2.19731927,4,1,S,1,OA,1,1,w,3,4,
174,10,335.2105122,19,1,H,1,HS,1,2,w,2,4,
175,10,329.5978906,23,2,PW,1,OA,2,5,w,1,4,
176,10,32.95978906,25,1,S,1,OA,1,1,w,2,4,
177,10,45.74983988,27,2,PW,1,RW,2,2,w,1,2,
178,10,878.9277082,28,1,F,3,OA,1,1,w,5,3,
179,10,903.1198686,43,1,F,3,NE,1,1,w,2,2,
180,10,33.52105122,47,1,MM,1,HS,1,1,w,1,2,
181,10,335.2105122,48,1,ES,1,HS,1,1,w,3,4,
182,10,1642.036125,60,1,ES,1,NE,1,1,w,3,2,
183,10,16.42036125,66,2,S,1,NE,2,2,w,1,2,
184,10,418.6866461,72,1,DP,1,SH,1,3,w,1,3,
185,10,3284.07225,82,1,H,3,NE,1,1,w,4,2,
186,10,49.26108374,83,1,S,1,NE,1,1,w,2,2,
187,10,64.04977583,90,2,PW,2,RW,2,2,w,3,2,
188,10,8.210180624,90,1,G,6,NE,,,w,,3,
189,10,46.92947171,110,1,M,1,HS,1,1,w,1,2,
190,10,492.6108374,145,1,H,1,NE,1,1,w,2,2,
191,11,13.40842049,0,4,PW,2,HS,3,5,w,4,4,
192,11,494.0982707,3,3,DP,1,RW,3,3,w,2,2,
193,11,517.8492728,4,5,PW,1,SH,5,6,w,2,4,
194,11,219.731927,10,15,PW,2,OA,15,25,w,2,2,
195,11,350,11,15,PW,1,HS,10,20,w,1,2,
196,11,1500,15,20,PW,2,OA,15,25,w,1,2,
197,11,201.1263073,15,1,PW,1,HS,1,1,w,2,4,
198,11,109.8659635,15,6,PW,1,OA,5,10,w,3,2,
199,11,40.22526146,24,1,MM,1,HS,1,1,w,2,2,
200,11,251.6241193,27,1,S,1,RW,1,1,w,2,2,
201,11,250,29,15,PW,1,HS,12,15,w,2,2,
202,11,400,30,1,PW,1,OA,1,3,w,1,2,
203,11,283.6490072,32,1,G,6,RW,,,w,,2,
204,11,402.2526146,37,2,PW,2,HS,2,2,w,2,2,
205,11,64.04977583,39,1,S,1,RW,1,1,w,1,2,
206,11,283.6490072,41,1,S,6,RW,1,1,w,4,2,
207,11,54.93298176,42,1,S,6,OA,1,1,w,4,2,
208,11,160.9010459,45,5,PW,1,hs,5,5,w,1,4,
209,11,198.3252534,46,3,PW,1,SH,2,3,w,2,4,
210,11,352.5782283,49,3,PW,1,SH,3,3,w,3,4,
211,11,2744.990393,49,6,U,3,RW,4,10,w,1,3,
212,11,65.91957811,51,1,S,1,OA,1,1,w,4,2,
213,11,429.0694556,52,12,PW,1,HS,8,12,w,2,2,
214,11,700,53,2,PW,1,HS,2,4,w,1,2,
215,11,1000,55,10,PW,2,OA,5,20,w,3,2,
216,11,1322.168356,66,2,H,3,SH,1,2,w,1,3,
217,11,594.7479184,67,1,H,1,RW,1,1,w,2,3,
218,11,11.49425287,69,1,S,1,NE,1,1,w,1,4,
219,11,300,72,1,ES,1,OA,1,1,w,3,3,
220,11,88.14455707,75,1,S,1,SH,1,1,w,2,2,
221,11,27.91461412,79,1,S,1,NE,1,1,w,1,4,
222,11,335.2105122,80,3,PW,1,HS,3,3,w,3,4,
223,11,113.9715741,86,1,G,6,HS,,,w,,4,
224,11,44.07227854,88,1,S,1,SH,1,1,w,2,2,
225,11,44.07227854,90,4,PW,1,SH,3,5,w,2,4,
226,11,65.68144499,90,1,S,1,NE,1,1,w,3,2,
227,11,32.95978906,90,1,S,6,OA,1,1,w,3,2,
228,11,32.95978906,90,1,S,1,OA,1,1,w,1,2,
229,11,16.52710445,90,1,G,6,SH,,,w,,2,
230,12,559,2,18,pw,2,oa,18,30,w,3,2,
231,12,25.26917161,3,1,S,1,OA,1,1,w,2,4,
232,12,240,3,1,pw,2,rw,1,1,w,3,2,
233,12,900,10,20,pw,2,mm,20,40,w,2,2,
234,12,963,21,4,pw,2,mm,4,5,w,2,2,
235,12,38.45308723,26,1,G,6,OA,,,w,,4,
236,12,530,26,5,pw,1,oa,5,10,w,2,2,
237,12,1200,30,30,pw,2,oa,20,35,w,2,2,
238,12,1174,40,4,KW,1,MM,4,4,w,1,1,T
239,12,653.1678641,40,20,pw,2,mm,20,40,w,2,2,
240,12,674,40,15,pw,2,mm,15,30,w,3,2,
241,12,13.136289,43,1,S,1,NE,1,1,w,2,1,
242,12,746.477559,50,60,pw,2,mm,60,80,w,3,2,
243,12,484.7950639,52,1,HS,1,SH,1,1,w,1,1,
244,12,800,53,1,h,3,ne,1,1,w,1,3,
245,12,329.5978906,72,1,mm,1,oa,1,1,w,2,2,
246,12,9.330969488,90,1,mm,1,mm,1,1,w,5,3,
247,12,27.54517409,90,1,mm,1,sh,1,1,w,5,3,
248,12,11.89495837,90,1,g,6,rw,,,w,,4,
249,12,3.30542089,90,1,G,6,SH,,,w,,4,
250,12,76,90,50,pw,2,mm,50,55,w,3,2,
251,12,18.66193898,90,1,s,1,mm,1,1,w,1,3,
252,13,22.87491994,35,1,es,1,rw,1,1,w,3,3,
253,13,10,50,1,g,6,ae,,,w,,2,
254,13,24.70491353,52,1,s,1,rw,1,1,w,3,2,
255,13,150,53,2,g,6,oa,,,w,,2,
256,13,186.6193898,55,1,hs,1,mm,1,1,w,3,2,
257,13,267,76,1,es,1,sh,1,1,w,3,4,
258,13,29.55665025,90,1,g,6,ne,,,w,,4,
259,13,27.54517409,90,1,g,6,sh,,,w,,2,
260,14,1300,4,35,PW,2,SH,20,40,w,5,2,
261,14,180,8,3,PW,2,RW,3,3,w,5,2,
262,14,950,13,18,PW,2,SH,12,25,w,2,2,
263,14,388.8736389,19,1,U,3,RW,1,1,w,5,2,
264,14,1700,25,2,H,3,OA,2,3,w,3,2,
265,14,311.0989112,27,1,M,1,RW,1,1,w,1,2,
266,14,68.62475981,30,1,G,6,RW,,,w,,2,
267,14,410,39,5,PW,2,SH,5,10,w,3,1,
268,14,1200,60,12,PW,2,SH,5,12,w,2,2,
269,14,170,90,2,PW,2,RW,2,4,w,3,2,
270,14,82.63552226,90,1,G,6,SH,1,1,w,,2,
301,17,2.744990393,50,1,G,1,rw,,,w,,3,
302,17,45.97701149,54,1,HS,1,ne,1,1,w,4,1,
303,17,95,69,1,HS,1,ne,1,1,w,3,3,
304,17,219,81,3,HS,1,ne,3,3,w,3,3,
305,17,120.6757844,90,1,G,1,hs,,,w,,3,
306,17,206,90,4,HS,1,ne,4,4,l,5,3,
307,17,216,155,1,HS,1,hs,1,1,w,3,3,
308,18,68.31203173,7,1,HS,1,SH,1,1,w,2,2,
